variable,type,unit,description
Sample_ID,string, ,initial of scientific name of each species before sample number
F_fresh_mass,numeric,g,fresh weight of each subsample collected in field
F_dry_mass,numeric,g,oven dry weight of each subsample collected in field
G_fresh_mass,numeric,g,fresh weight of each subsample collected after sample stored in greenhouse for a while
G_dry_mass,numeric,g,oven dry weight of each subsample collected for greenhouse stored sample
G_leaf_area,numeric,cm2,scanned leaf area of each greenhouse stored sample
,,,
,,,
  ,,,
