genus,specific.ephithet,family,spcode,display.name,photosynthesis type,number of pairs,sampling area
Aristida,purpurea,Poacea,ARPUL,A.purpurea var. longiseta,C4,8,Kiowa National Grassland
Eragrostis,curvula,Poacea,ERCU2,E.curvula,C4,10,Black Kettle National Grassland
Andropogon,gerardii,Poacea,ANGE,A.gerardii,C4,10,Kiowa National Grassland
Muhlenbergia,torreyi,Poacea,MUTO2,M.torreyi,C4,10,Kiowa National Grassland
Panicum,coloratum,Poacea,PACO2,P.coloratum,C4,10,Kiowa National Grassland
Agropyron,smithii,Poacea,PASM,A.smithii,C3,10,Kiowa National Grassland
Elymus,canadensis,Poacea,ELCA4,E.canadensis L.,C3,8,Kiowa National Grassland
Stipa,neomexicana,Poacea,HENE5,S.neomexicana,C3,10,Kiowa National Grassland
Oryzopsis,hymenoides,Poacea,ORHY,O.hymenoides,C3,8,Kiowa National Grassland
Agrostis,hyemalis,Poacea,AGHY,A.hyemalis,C3,10,Kiowa National Grassland
